x1,y1,x2,y2,x3,y3,x4,y4,Texto,Confiança
157,271,340,271,340,304,157,304,"Campo Belo,8",0.9224458297693343
349,271,478,271,478,307,349,307,de Março,0.9226466667298368
484,274,596,274,596,306,484,306,de 1935,0.9909164194383443
140,352,192,352,192,376,140,376,Veu,0.7036013641174408
201,350,266,350,266,376,201,376,caro,0.9427523612976074
274,350,368,350,368,374,274,374,Remos:,0.9168762883523427
409,353,445,353,445,371,409,371,um,0.9540945382682181
451,345,564,345,564,381,451,381,"abraço,",0.9527938117341866
199,393,237,393,237,429,199,429,A{,0.2766232675457029
246,404,342,404,342,430,246,430,seguem,0.9423313969765162
351,405,385,405,385,423,351,423,03,0.6945083678316541
396,400,534,400,534,428,396,428,origlnaes,0.8282800076712415
544,400,578,400,578,424,544,424,do,0.9995920428836648
588,400,668,400,668,424,588,424,lívro,0.6910340909447691
676,400,714,400,714,426,676,426,de,0.9879540441500473
722,400,878,400,878,426,722,426,Edison.Fiz,0.79492782915042
887,405,919,405,919,425,887,425,as,0.9493546915292197
932,400,1040,400,1040,426,932,426,emendas,0.9943220829783308
171,445,403,445,403,481,171,481,autor pedlu.São,0.9659256834247165
410,448,490,448,490,474,410,474,allas,0.9399190840022226
498,450,786,450,786,478,498,478,multo poucas .Juntel,0.8418045119813597
795,450,846,450,846,476,795,476,a0s,0.3197709312852501
856,450,996,450,996,480,856,480,origina0s,0.3855194428412184
1005,455,1041,455,1041,475,1005,475,u,0.9299342220946052
1050,450,1100,450,1100,476,1050,476,de-,0.9254460443854481
142,500,222,500,222,526,142,526,senho,0.9983537248863227
230,500,266,500,266,526,230,526,de,0.9995506598754336
276,500,354,500,354,526,276,526,Santa,0.9351121482487758
364,502,430,502,430,526,364,526,Rosa,0.9721396565437317
454,500,566,500,566,526,454,526,desenho,0.994311294549884
573,498,699,498,699,529,573,529,qu6 deve,0.6057199109385648
708,500,772,500,772,526,708,526,sair,0.7145366072654724
782,500,862,500,862,526,782,526,entre,0.889582401291309
871,505,905,505,905,525,871,525,89,0.44127406660734125
914,502,1026,502,1026,530,914,530,pegInas,0.2537236081883833
1036,500,1114,500,1114,526,1036,526,indi-,0.5018648610448652
142,552,328,552,328,580,142,580,cadas.Quanto,0.9629401365051274
335,555,385,555,385,575,335,575,Anx,0.13780526604184157
410,550,624,550,624,580,410,580,as fotolrafias,0.4775517935898818
632,550,714,550,714,576,632,576,devem,0.9996706319683701
721,543,849,543,849,579,721,579,@star af,0.35874342000555776
857,555,891,555,891,575,857,575,no,0.9996462376838618
900,550,952,550,952,576,900,576,Rio,0.9946964043342351
990,552,1070,552,1070,578,990,578,minha,0.9833181060367641
1085,559,1127,559,1127,577,1085,577,68 -,0.2441297128396766
138,593,401,593,401,632,138,632,"pera,Irel para aí",0.4482226917220077
408,600,474,600,474,626,408,626,me1s,0.3820534999356138
487,605,519,605,519,625,487,625,ou,0.9253299033477397
529,605,607,605,607,625,529,625,menos,0.9982459063387765
618,602,654,602,654,626,618,626,no,0.9997387838266762
662,600,712,600,712,626,662,626,dia,0.5065428087355216
722,600,862,600,862,630,722,630,"15,deante",0.9948149008015799
872,600,908,600,908,626,872,626,do,0.9985994104998661
916,604,1008,604,1008,630,916,630,"que,V ,",0.6653789864432604
1019,599,1086,599,1086,628,1019,628,deve,0.970373809337616
142,652,236,652,236,678,142,678,mandar,0.9741310796915554
247,657,281,657,281,677,247,677,08,0.806387814310371
292,652,504,652,504,682,292,682,orlgInaes para,0.5415403327239879
514,650,728,650,728,680,514,680,"São Paulo,caso",0.8942463850183447
738,652,802,652,802,680,738,680,seja,0.5795526504516602
812,652,876,652,876,676,812,676,esta,0.9529851675033569
888,654,936,654,936,678,888,678,sua,0.9825053713596186
946,652,1082,652,1082,682,946,682,"Int enção,",0.5835858516685608
142,706,192,706,192,732,142,732,que,0.9998346829428394
203,707,235,707,235,727,203,727,0s,0.21145784072425233
244,697,417,697,417,734,244,734,fotograflas,0.5509268065001692
426,702,490,702,490,726,426,726,irao,0.7249023914337158
497,697,744,697,744,734,497,734,dopois Eu gostei,0.3119450768116363
752,699,1086,699,1086,730,752,730,"do livro,especlalmente",0.6272830290538062
142,754,238,754,238,778,142,778,devldo,0.789079417775972
290,752,476,752,476,778,290,778,docunentario,0.7230286033780973
486,751,728,751,728,781,486,781,Inedito Peço-lho,0.545671643429295
738,751,860,751,860,783,738,783,que faça,0.6840475215492393
872,752,938,752,938,778,872,778,tudo,0.9997957348823547
946,756,996,756,996,782,946,782,que,0.9415774453469284
1006,752,1114,752,1114,778,1006,778,estiver,0.9226314623565298
143,807,191,807,191,827,143,827,nas,0.9906911864654566
205,807,265,807,265,827,205,827,sua 8,0.4157310698465167
277,807,339,807,339,827,277,827,maos,0.9864749908447266
348,806,414,806,414,832,348,832,para,0.9910046458244324
426,806,476,806,476,830,426,830,que,0.9963031971127131
486,802,594,802,594,828,486,828,0 livro,0.7409540897600956
602,800,758,800,758,829,602,829,não denore,0.6629055978524359
766,802,848,802,848,826,766,826,muito,0.9771581203504518
857,807,905,807,905,827,857,827,nos,0.998156942751388
913,799,1012,799,1012,832,913,832,prelos,0.9121587404698561
1020,804,1056,804,1056,828,1020,828,da,0.9952313023529186
1064,804,1114,804,1114,828,1064,828,Edi,0.4036608040332794
142,854,206,854,206,878,142,878,tora,0.9923890829086304
216,846,416,846,416,878,216,878,"Naclonal,1990",0.493571550402498
424,856,520,856,520,882,424,882,porque,0.9734134451506413
528,851,578,851,578,878,528,878,se1,0.4504125106748302
588,852,638,852,638,876,588,876,das,0.999359674877138
646,840,791,840,791,891,646,891,condiçães,0.5996828780103706
796,852,966,852,966,878,796,878,financeiras,0.9524412814522611
974,852,1146,852,1146,878,974,878,dxxFattnxxx,0.34113982841646806
142,904,178,904,178,930,142,930,do,0.9999126728467339
186,904,280,904,280,930,186,930,autor .,0.7072208295931373
216,954,266,954,266,978,216,978,Ele,0.9997723286675512
275,952,370,952,370,982,275,982,queria,0.6643258549427986
381,957,417,957,417,977,381,977,um,0.9942440641266231
423,949,550,949,550,982,423,982,prefaclo,0.7896675932698609
560,952,686,952,686,978,560,978,"seul , Caso",0.5407624756415436
697,961,727,961,727,977,697,977,"V ,",0.39574190974235535
763,948,969,948,969,987,763,987,façe peço-lhe,0.7912173134828724
976,956,1026,956,1026,982,976,982,que,0.9343171315983593
1036,952,1102,952,1102,978,1036,978,tira,0.9255437850952148
141,1009,191,1009,191,1029,141,1029,uma,0.8789751529693604
201,1002,357,1002,357,1033,201,1033,copia para,0.863791924090127
365,1007,401,1007,401,1027,365,1027,ne,0.48752166064911046
410,1000,566,1000,566,1032,410,1032,dar quendo,0.9771906122444534
577,1007,609,1007,609,1027,577,1027,eu,0.9874169387795744
617,995,655,995,655,1031,617,1031,a{,0.9927893159429515
665,1003,770,1003,770,1033,665,1033,"chegar,",0.6587626210942108
232,1051,492,1051,492,1084,232,1084,Estou descançando,0.9877306083583354
501,1059,563,1059,563,1077,501,1077,numa,0.971523106098175
574,1050,924,1050,924,1082,574,1082,"fazenda admiravel,E,sem",0.726536839161765
932,1054,1012,1054,1012,1078,932,1078,outro,0.9875136741046899
1021,1059,1055,1059,1055,1079,1021,1079,08,0.2720614081326472
1051,1050,1145,1050,1145,1082,1051,1082,"sunto,",0.9785900128278351
141,1102,282,1102,282,1131,141,1131,mando-lhe,0.8774251842566452
321,1109,371,1109,371,1127,321,1127,mncu,0.6350623369216919
